,sum_tx_matic,avg_tx_gas_cost,tx_date
64,5168473.942172477,0.001045195888240577,2021-03-06
65,7959451.42600613,0.0009958944641987274,2021-03-07
66,8544414.96451425,0.0010642097370435757,2021-03-08
67,9463631.393004406,0.0008881981481767107,2021-03-09
68,7149783.475722496,0.0005990026577955712,2021-03-10
69,10229714.095169466,0.000557062711417137,2021-03-11
70,11613600.41931067,0.0007402547318588002,2021-03-12
71,10344092.24256752,0.0008061017760479882,2021-03-13
72,10052536.407579299,0.0010145662630622805,2021-03-14
73,4980056.920268424,0.0008579812825733682,2021-03-15
74,6251692.086905182,0.0011446850923659659,2021-03-16
75,5201086.312962431,0.0019394595529404431,2021-03-17
76,4405677.436919303,0.0010667647089176882,2021-03-18
77,7919582.212625988,0.0010767041023995365,2021-03-19
78,5790308.258427551,0.0008760772515954126,2021-03-20
79,10599334.042179165,0.0006077475598118409,2021-03-21
80,8021150.978289108,0.0008420510319748469,2021-03-22
81,6665548.15453649,0.0004551984089519848,2021-03-23
82,11513636.210378144,0.0007037612254897657,2021-03-24
83,4374416.153286801,0.0005147852633581078,2021-03-25
84,4603839.79782936,0.0009689137266381948,2021-03-26
85,3397802.8218146046,0.0005752092392292891,2021-03-27
86,6379418.544871624,0.0009088304317988787,2021-03-28
87,9650237.345829744,0.0009351409815806866,2021-03-29
88,5560349.058437689,0.0010194398425380975,2021-03-30
89,9235963.474404112,0.0007212622487654107,2021-03-31
90,7975687.674318325,0.0008555682798665535,2021-04-01
91,8145803.972878048,0.00037528692461963667,2021-04-02
92,6470667.062072519,0.0007833663355227822,2021-04-03
93,5544942.79204396,0.0006931678816681146,2021-04-04
94,9133303.020327907,0.0008566279579748821,2021-04-05
95,7277702.552819342,0.0010351277737598364,2021-04-06
96,8729642.236637255,0.0011712117362116295,2021-04-07
97,8160533.111522337,0.001774110392935818,2021-04-08
98,5106426.215785577,0.0010089106099046227,2021-04-09
99,4807805.822098223,0.0009206619515845153,2021-04-10
100,9561191.048527008,0.0009194362959737894,2021-04-11
101,7074681.735532507,0.0007856062939141079,2021-04-12
102,14836398.350865228,0.0007821561944800731,2021-04-13
103,195695542.8292015,0.0007903373860597136,2021-04-14
104,130369296.44589022,0.000615132544512945,2021-04-15
105,129829512.5482712,0.0008574486336230599,2021-04-16
106,51423562.43046315,0.0006766726273014035,2021-04-17
107,69211290.53039508,0.0005153412679867256,2021-04-18
108,64730014.04577149,0.0007686813260987197,2021-04-19
109,54342198.18541396,0.0005953820372402598,2021-04-20
110,46454564.16312285,0.0005599992423618007,2021-04-21
111,80397540.40216218,0.0005588077064889459,2021-04-22
112,78303466.41666289,0.0006183021861756843,2021-04-23
113,64354925.43013013,0.00035502995100591365,2021-04-24
114,104706070.48947768,0.0006323270709340504,2021-04-25
115,162353073.2165374,0.00046047947170808657,2021-04-26
116,183303915.86659324,0.0003253355391285513,2021-04-27
117,141095033.68093368,0.0003016154682018409,2021-04-28
118,158826949.94358256,0.00026024928394738936,2021-04-29
119,116395520.55618496,0.00023315858114291048,2021-04-30
120,156318171.70468825,0.00021121283594838363,2021-05-01
121,240108553.9628298,0.0002741197272568436,2021-05-02
122,184437113.22857264,0.001611652366784418,2021-05-03
123,182044377.49913523,0.0004550945023577428,2021-05-04
124,115331455.90297826,0.00027009500702575924,2021-05-05
125,99564737.37019004,0.0003123219581694718,2021-05-06
126,209504137.2610325,0.0005125859722087335,2021-05-07
127,91220701.96527345,0.0004133722019346151,2021-05-08
128,193426005.53844404,0.00035291231735550064,2021-05-09
129,101706202.41673927,0.000480480773681618,2021-05-10
130,123042764.24721289,0.000489583556984915,2021-05-11
131,146999207.79100695,0.000687757870025054,2021-05-12
132,165583644.17548984,0.0009241837753146491,2021-05-13
133,195581107.65838233,0.0008228133894406366,2021-05-14
134,179186493.26340482,0.0005115683672138585,2021-05-15
135,135638215.4226537,0.0005088696749154359,2021-05-16
136,113345261.62913115,0.0003820697001093486,2021-05-17
137,150497859.05847013,0.00035992452799274167,2021-05-18
138,205023584.11073405,0.0015711326934018464,2021-05-19
139,163511394.2742861,0.0005933802688903865,2021-05-20
140,182162475.5443285,0.0009279972135119422,2021-05-21
141,172196736.47669,0.0005141221669765523,2021-05-22
142,306604297.87608725,0.0029187875497912264,2021-05-23
143,201688546.9377106,0.00043943266333129193,2021-05-24
144,190682664.83879638,0.00030559783670369614,2021-05-25
145,128980926.9401615,0.0003549271796919026,2021-05-26
146,103926297.05655958,0.000309219490362198,2021-05-27
147,100827062.16720279,0.000306658623886019,2021-05-28
148,99045904.75682661,0.0003320173218917098,2021-05-29
149,104125121.98653603,0.0005107857136306053,2021-05-30
150,111000933.90234487,0.0002875899808605409,2021-05-31
151,78425645.9782191,0.0003053536747326231,2021-06-01
152,89326073.8839204,0.0003211443574506742,2021-06-02
153,52611169.32295659,0.000281123635670974,2021-06-03
154,94330091.67816137,0.0002810272670761343,2021-06-04
