Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4023.77/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x7f0eed681fe4d23d44eac503f0e76db0794da6d2000bce54012293221139c09e,11373664,1606919962,12/2/20 14:39,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00660744,26.58681885,598.26,,,Deposit
0x177f45ee7577b2de3f2608a40e3e27f7bc6e0a35547a0e8de83b0f5e4a8e50b1,11373664,1606919962,12/2/20 14:39,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00831656,33.46392463,598.26,,,Deposit
0xcbe6a3a5b609a75d2a5a205c6c3d82676985f3638bfa0636d0c8e16771779a32,11373673,1606920055,12/2/20 14:40,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00777964,31.30348204,598.26,,,Deposit
0x541e975311d8971035b1317f681240c4abda9e908c6e13c62a7a6093b38169bb,11373693,1606920346,12/2/20 14:45,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.007329174,29.49091047,598.26,,,Deposit
0x69889e9c7ab5d70aed4d4d7d12b70de55ab137c32405da31418b37244fa99c7e,11373695,1606920356,12/2/20 14:45,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.010558122,42.48345456,598.26,,,Deposit
0x1cfa537232ea63a7eee732073bd107a11156c279c573c2fa740824b2a8dbe878,11373711,1606920524,12/2/20 14:48,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00739036,29.73710886,598.26,,,Deposit
0x46d26895aca3b9dfcd536f942d0a013bea93d0363cd6fe8293f4ad401e43ee65,11373736,1606920840,12/2/20 14:54,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.00794608,31.97319832,598.26,,,Deposit
0x874e68763a8c41202618288632f8b4d8b58d82a1c28b84f6334568fb6628d791,11373756,1606921063,12/2/20 14:57,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.034758568,139.8604832,598.26,,,Borrow
0xf7af6472d4ff1535f6922771a21964a47c2a4aaffef4cdce9c027b01f02211e9,11373760,1606921137,12/2/20 14:58,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.030438031,122.475636,598.26,,,Borrow
0xd53a5a4b900ef66c51217cc49c295b7518165a4aa123e6bbf17597bd875705e0,11373784,1606921459,12/2/20 15:04,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.029760358,119.7488357,598.26,,,Borrow
0x9ce472fd754ec5e7ba1ad95e4e1ff6bb7391818e7003eb7087b6f4bef0abeb09,11373850,1606922259,12/2/20 15:17,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.041260275,166.0218567,598.26,,,Borrow
0x00a5f9c1e2830c80148b93fb14f58e8f567e71915ebfa756f86ad1736cf3146b,11373864,1606922476,12/2/20 15:21,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.025602562,103.0188193,598.26,,,Borrow
0x09acaea27d69088808e14550f0c99dd3ce3b984a73d887984348ec3548b39787,11373864,1606922476,12/2/20 15:21,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.047342178,190.4940356,598.26,,,Borrow
0xe9022ea3d8e5a7babb2bb6d5153d8afdc137b52fff7807321245321f81fba48a,11373865,1606922484,12/2/20 15:21,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.027094298,109.0212235,598.26,,,Borrow
0x73953e9b4927a55007d1955eb478edb7cddfd689bfa692a16f93703ad11ad974,11373896,1606922775,12/2/20 15:26,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.047808012,192.3684444,598.26,,,Borrow
0x942c5527dbc829e9150f185cbc1d156f2963a59b1992ca57db8ace3c5be88c01,11373984,1606924098,12/2/20 15:48,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.05234295,210.6159919,598.26,,,Borrow
0x6813c87cd778a97a4e533804a8e40539fedebc8650eb39d7c0f3d6ea69eb6f99,11373988,1606924179,12/2/20 15:49,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.011089265,44.62065183,598.26,,,Withdraw
0xe64d208024d04bbea7100441d5cf5272bcb77f45b30ad0a88d5604832f82e092,11374001,1606924308,12/2/20 15:51,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.01939095,78.02472288,598.26,,,Borrow
0x75a2820485202bc0ab342adcc60cdcb7cea5055da7e546b7463bce7e7bb8d373,11374054,1606924925,12/2/20 16:02,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.009071216,36.5004868,598.26,,,Deposit
0x234ba1655e43edfeefc60cfaf661e191b55c7a91e6585b0ad725c069fa37b1a8,11374057,1606925040,12/2/20 16:04,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.043643248,175.610392,598.26,,,Borrow
0xa2be653ee5dd627c41ffec5ad859e6a8227bdd951d087c3a433e9faaac56be5a,11374062,1606925085,12/2/20 16:04,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,,0,0,0,0.03032301,122.0128179,598.26,,,Borrow
